slno,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,url
2,30.0,0.0,0.0,0,26,11,93.775390625,79.91585612230021,18,4,0,32.00981793137583,886,https://web.archive.org/web/20000101000000/http://www.hungersite.com
3,30.0,0.0,96.66666666666667,0,27,3,394.5556640625,95.13544953901368,93,5,0,39.261390763194505,1169,https://web.archive.org/web/20000101000000/http://www.aclu.org
4,1226.0,0.0,13.866231647634583,0,97,123,65.875,64.16923624288425,33,4,0,39.76096083130483,1832,https://web.archive.org/web/20000101000000/http://www.protest.net
5,572.0,0.050699300699300696,10.314685314685315,0,48,35,51.1943359375,64.74257482402763,12,4,0,43.46959482925469,1860,https://web.archive.org/web/20000101000000/http://www.actionnetwork.org
7,0.0,0.0,0.0,0,0,0,80.44140625,79.61321808381489,10,2,0,10.14164553779893,918,https://web.archive.org/web/20000101000000/http://www.sfmoma.org/EXHIB/viola/fr_splash.html
8,0.0,0.0,0.0,0,0,0,80.3779296875,79.67487576998312,10,3,0,20.961696967872097,1205,https://web.archive.org/web/20000101000000/http://easylife.org
9,409.0,1.0440097799511003,1.466992665036675,0,25,13,64.75390625,74.08005067261868,15,2,0,16.70776608493528,1262,https://web.archive.org/web/20000101000000/http://www.netomat.net
10,0.0,0.0,0.0,0,0,0,80.4072265625,79.64584573156661,10,3,0,19.48687102033261,748,https://web.archive.org/web/20000101000000/http://phoneme.walkerart.org
11,159.0,0.0,101.88679245283019,0,46,5,356.0615234375,94.52451543716934,34,6,0,31.093042970647744,1117,https://web.archive.org/web/20000101000000/http://www.videofarm.com
12,0.0,0.0,0.0,0,0,0,76.8046875,83.38164988302309,10,4,0,34.37980412707137,1722,https://web.archive.org/web/20000101000000/http://www.atomfilms.com
16,471.0,0.0,12.738853503184714,0,148,56,232.431640625,85.86992143187261,130,7,0,56.1705283061458,1422,https://web.archive.org/web/20000101000000/http://www.babycenter.com
17,429.0,0.0,16.317016317016318,0,111,104,149.1806640625,84.54841222563351,52,8,0,41.650018076274755,1947,https://web.archive.org/web/20000101000000/http://www.amazon.com
18,400.0,0.0,3.25,0,4,176,1169.470703125,95.3668276079757,92,14,1,51.007055245435524,2292,https://web.archive.org/web/20000101000000/http://www.etoys.com
19,0.0,0.0,0.0,0,0,0,80.771484375,79.28666424857937,10,5,0,47.96289380505076,1090,https://web.archive.org/web/20000101000000/http://www.gear.com
20,99.0,0.0,50.505050505050505,0,89,20,112.39453125,82.73728843012546,58,4,0,48.92242072712334,1041,https://web.archive.org/web/20000101000000/http://www.mobshop.com
21,157.0,0.03184713375796178,16.560509554140125,0,33,50,147.8486328125,88.67877170617648,23,7,0,54.07336945312285,1188,https://web.archive.org/web/20000101000000/http://cafe.utne.com/cafe
22,1701.0,0.053497942386831275,23.927101704879483,0,139,226,101.7353515625,73.25033356691016,50,5,0,40.16140036931415,2262,https://web.archive.org/web/20000101000000/http://slashdot.org
23,603.0,0.0,20.23217247097844,0,50,90,143.138671875,85.41419351317423,29,7,0,48.46218589166959,2028,https://web.archive.org/web/20000101000000/http://www.mtbr.com
24,117.0,0.10256410256410256,94.01709401709401,0,69,40,50.1240234375,66.12504140121183,13,6,0,51.76662902273984,1042,https://web.archive.org/web/20000101000000/http://www.craigslist.org
25,954.0,0.0,75.8909853249476,0,144,283,144.255859375,79.84605802948862,109,8,0,87.45891152003011,2095,https://web.archive.org/web/20000101000000/http://www.icq.com
26,0.0,0.0,0.0,0,0,0,81.46875,78.60807441503644,10,4,0,121.64614634336546,1069,https://web.archive.org/web/20000101000000/http://www.wordcentral.com
27,192.0,0.0,16.145833333333336,0,43,21,206.263671875,89.1238270190423,21,4,0,35.99302272368415,973,https://web.archive.org/web/20000101000000/http://www.pbs.org/wgbh/aso
28,137.0,0.0,0.0,0,13,0,80.826171875,78.98774859241718,27,4,0,94.9037064880792,1020,https://web.archive.org/web/20000101000000/http://www.pbs.org/wgbh/cultureshock
29,0.0,0.0,0.0,0,0,0,80.9794921875,79.08300471521773,10,3,0,66.41294533055526,691,https://web.archive.org/web/20000101000000/http://vector.cshl.org/dnaftb
30,51.0,0.0,35.294117647058826,0,10,16,68.4189453125,77.43395041463867,27,1,0,93.3662340715927,650,https://web.archive.org/web/20000101000000/http://www.artsednet.getty.edu
31,97.0,0.0,12.371134020618557,0,23,2,89.93359375,82.3111670937758,29,4,0,66.85146934159923,740,https://web.archive.org/web/20000101000000/http://www.paulsmith.co.uk
32,34.0,0.0,35.294117647058826,0,0,8,48.5986328125,68.20054254998493,13,2,0,130.8009929959035,281,https://web.archive.org/web/20000101000000/http://www.toddoldham.com
33,149.0,0.0,24.832214765100673,0,44,18,133.5615234375,86.26788625911222,30,7,0,44.80886486805206,1573,https://web.archive.org/web/20000101000000/http://www.fuk.co.uk
34,2.0,0.0,0.0,0,6,1,100.5283203125,84.05980124537356,21,2,0,74.76963015272449,313,https://web.archive.org/web/20000101000000/http://www.hintmag.com
35,0.0,0.0,0.0,0,12,0,71.5615234375,83.94765212407374,17,4,0,15.525547608051838,1061,https://web.archive.org/web/20000101000000/http://www.centuryinshoes.com
36,216.0,0.046296296296296294,58.333333333333336,0,105,46,127.1181640625,80.11969055612319,69,5,0,34.172400278835134,1688,https://web.archive.org/web/20000101000000/http://www.gomez.com
37,104.0,0.0,27.884615384615387,0,132,24,139.333984375,74.18592915516057,104,7,0,39.26086377459591,1420,https://web.archive.org/web/20000101000000/http://www.paypal.com
38,213.0,0.0,11.267605633802818,2,73,17,74.5771484375,77.09219951025966,17,3,0,28.449311868915665,1276,https://web.archive.org/web/20000101000000/http://www.island.com
39,398.0,0.0,30.402010050251256,0,130,31,90.0390625,73.96095444685466,90,6,0,52.67426705603414,1836,https://web.archive.org/web/20000101000000/http://www.metamarkets.com
40,0.0,0.0,0.0,0,18,0,105.6220703125,83.74585093891288,29,4,0,46.59867034442014,828,https://web.archive.org/web/20000101000000/http://www.nextcard.com
41,258.0,0.0,21.705426356589147,0,114,58,180.1015625,85.93404329154556,64,5,0,52.16624753849462,2541,https://web.archive.org/web/20000101000000/http://www.gamespy.com
42,13.0,0.23076923076923078,46.15384615384615,0,17,1,23.8544921875,52.34371801694846,21,2,0,33.35842331672619,273,https://web.archive.org/web/20000101000000/http://www.shockwave.com
43,630.0,0.0,53.80952380952381,0,56,44,232.5009765625,88.50853281026205,55,5,0,48.64810866441018,1480,https://web.archive.org/web/20000101000000/http://www.gamasutra.com
44,91.0,0.0,10.989010989010989,0,32,11,842.7412109375,97.67963317253151,33,2,0,45.244376577306,819,https://web.archive.org/web/20000101000000/http://happypuppy.com
