slno,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,url
1,701.0,1.890156918687589,6.276747503566334,0,215,433,3787.39453125,96.70739077923993,391,6,0,21.965093511802387,1828,https://web.archive.org/web/20140101000000/http://www.endthebacklog.org
2,0.0,0.0,0.0,0,0,0,1250.8740234375,7.4854691446215345,18,4,0,8.486519179821663,185,https://web.archive.org/web/20140101000000/http://offshore-interactive.com/site/
3,118.0,0.3474576271186441,3.389830508474576,0,7,18,1836.2666015625,69.39873012124954,45,11,0,28.494609913409843,1327,https://web.archive.org/web/20140101000000/http://www.Causes.com
4,341.0,0.16422287390029325,3.225806451612903,0,10,80,3186.2392578125,97.45217854243207,84,14,0,92.73792702744302,2159,https://web.archive.org/web/20140101000000/http://Sexgerms.com
5,24.0,1.4166666666666667,29.166666666666668,0,1,53,2314.806640625,87.40491958612229,51,2,0,21.820731042681764,319,https://web.archive.org/web/20140101000000/http://artsy.net
6,477.0,0.5073375262054507,8.176100628930817,0,13,86,1308.25,96.18175819319701,81,6,0,20.590243475130425,1365,https://web.archive.org/web/20140101000000/http://thecreatorsproject.vice.com/en_us
7,93.0,0.06451612903225806,1.0752688172043012,0,2,40,851.1826171875,97.75851842163534,45,5,0,16.52962768664222,1052,https://web.archive.org/web/20140101000000/http://curiator.com
11,247.0,0.09716599190283401,15.384615384615385,0,21,25,2305.8125,98.01118267693059,262,7,0,101.10440065241153,1368,https://web.archive.org/web/20140101000000/http://www.InternetAssociation.org
12,270.0,0.0,11.481481481481481,0,121,87,1663.326171875,98.3569607678515,58,9,0,62.39851180212352,1988,https://web.archive.org/web/20140101000000/http://www.asla.org/sustainablelandscapes
13,63.0,0.047619047619047616,0.0,0,11,18,76.900390625,78.20079750082544,44,3,0,15.779009902616945,361,https://web.archive.org/web/20140101000000/http://CTIALimitlessWireless.com
15,242.0,0.5785123966942148,18.59504132231405,0,17,227,1283.41015625,88.84867890416463,45,14,0,58.83418959471365,1864,https://web.archive.org/web/20140101000000/http://mashable.com/
16,736.0,0.03125,4.755434782608696,0,22,22,1135.2109375,90.30492336914257,50,5,0,78.60283721461172,1018,https://web.archive.org/web/20140101000000/http://bit.ly/1kfV6bm
17,635.0,0.26614173228346455,2.8346456692913384,0,0,130,1414.65625,88.47065596766,54,3,0,29.635180603409772,1324,https://web.archive.org/web/20140101000000/http://99u.com
18,1119.0,0.2162645218945487,15.996425379803394,1,38,320,3048.3505859375,97.42073630366832,120,10,0,54.977155036600536,1256,https://web.archive.org/web/20140101000000/http://www.businessoffashion.com
19,219.0,0.3013698630136986,4.10958904109589,0,22,86,1819.771484375,93.91079752243961,47,3,0,20.572063011880537,1095,https://web.archive.org/web/20140101000000/http://www.shutterstock.com/blog/
20,1559.0,0.05195638229634381,9.685695958948044,0,64,108,2034.2978515625,96.20286099559267,77,7,0,34.119642229384226,1530,https://web.archive.org/web/20140101000000/http://nowness.com
21,405.0,0.5753086419753086,25.679012345679013,0,22,79,2753.7529296875,92.42475556263238,187,14,1,46.933490489679215,2033,https://web.archive.org/web/20140101000000/http://mentalfloss.com/
22,1901.0,0.028406102051551814,3.314045239347712,0,66,298,2452.7060546875,91.74429072480929,92,9,0,33.81867799112777,1221,https://web.archive.org/web/20140101000000/http://www.theparisreview.org/blog/
24,242.0,0.5785123966942148,18.59504132231405,0,17,227,1283.4013671875,88.84951563799504,45,14,0,58.83418959471365,1864,https://web.archive.org/web/20140101000000/http://mashable.com/
25,1667.0,0.22915416916616677,15.956808638272346,0,103,367,1938.4287109375,95.87178726326242,140,10,0,36.45234570594345,2130,https://web.archive.org/web/20140101000000/http://www.theatlantic.com/politics
26,876.0,0.15296803652968036,11.415525114155251,1,147,191,599.84765625,85.49973626116007,111,5,0,81.88810021679015,1645,https://web.archive.org/web/20140101000000/http://www.truthdig.com/eartotheground
27,5628.0,0.03073916133617626,2.3098791755508175,0,16,265,832.5888671875,88.48142852618726,203,7,0,40.1191235684234,2612,https://web.archive.org/web/20140101000000/http://www.sbs.com.au/exitsyria
28,1704.0,0.3814553990610329,1.4084507042253522,0,5,159,1552.7880859375,94.75364059733782,113,17,0,68.84241639198763,2183,https://web.archive.org/web/20140101000000/http://www.publicintegrity.org/politics/primary-source
29,3659.0,0.032249248428532384,4.181470347089369,1,75,199,2603.8779296875,94.43074500885285,105,5,0,34.98551789003304,1530,https://web.archive.org/web/20140101000000/http://www.thedailybeast.com/washingtonbureau.html
31,371.0,0.3288409703504043,2.6954177897574128,1,14,133,1059.2841796875,90.26363801468968,150,8,0,36.31325183428654,1991,https://web.archive.org/web/20140101000000/http://www.bbc.com/autos
32,328.0,0.08536585365853659,1.524390243902439,0,52,43,1997.3232421875,98.77379833067597,46,4,0,42.62001396587434,831,https://web.archive.org/web/20140101000000/https://www.tred.com/
34,132.0,0.3106060606060606,10.606060606060606,0,10,88,1560.6826171875,93.32029316598869,49,2,0,10.645836223853594,251,https://web.archive.org/web/20140101000000/http://thecarcrush.com/
36,17.0,0.0,70.58823529411765,0,0,104,1427.6748046875,92.13681282187561,34,1,0,6.211885734250253,127,https://web.archive.org/web/20140101000000/http://www.beyonce.com
37,73.0,0.0958904109589041,16.43835616438356,0,3,4,890.2958984375,95.39731238407174,42,10,0,58.92309222959576,1671,https://web.archive.org/web/20140101000000/http://kanyevscreative.com
38,445.0,0.056179775280898875,49.43820224719101,0,34,169,9584.9697265625,98.9454314305774,40,5,0,23.98595796540383,1229,https://web.archive.org/web/20140101000000/http://carterfamilyportraits.tumblr.com/
39,8138.0,0.02224133693782256,3.563529122634554,0,459,150,6394.5888671875,97.88963416487236,418,17,0,36.34249268651466,1744,https://web.archive.org/web/20140101000000/http://www.rodney.com
40,1.0,0.0,100.0,0,0,0,5178.455078125,95.77874675309246,58,1,0,0.0,1,https://web.archive.org/web/20140101000000/http://missingkidsstamps.ca
42,474.0,0.2805907172995781,24.47257383966245,0,21,54,1225.1103515625,85.33151908350092,42,11,0,80.03194968386065,1799,https://web.archive.org/web/20140101000000/http://glasspockets.org/
43,45.0,0.044444444444444446,95.55555555555556,0,1,50,1127.8486328125,92.34551054318189,25,4,0,46.29169583966663,695,https://web.archive.org/web/20140101000000/http://www.girleffect.org/2015-beyond/girls-voices/
45,126.0,0.24603174603174602,30.952380952380953,0,10,46,1506.462890625,96.86221734739254,44,4,0,13.60189086525124,1507,https://web.archive.org/web/20140101000000/http://www.colorpluscity.com/en
46,217.0,0.08294930875576037,5.0691244239631335,0,6,31,1854.546875,95.45284604561424,46,8,0,25.133575422620066,2364,https://web.archive.org/web/20140101000000/http://fast-fwd.org/
48,381.0,0.2125984251968504,0.7874015748031495,0,0,109,1335.1845703125,95.23327840471494,75,8,0,45.98915720328564,1609,https://web.archive.org/web/20140101000000/http://government.github.com/
50,43.0,0.32558139534883723,4.651162790697675,0,0,7,1422.970703125,93.13653901320548,45,13,0,34.64524833901322,1522,https://web.archive.org/web/20140101000000/http://www.tumblr.com
51,159.0,0.031446540880503145,8.80503144654088,0,0,141,1705.07421875,89.08966572661106,47,10,0,37.461136338314304,1511,https://web.archive.org/web/20140101000000/http://www.behance.net
