slno,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,url
1,629.0,0.35453100158982515,10.81081081081081,0,49,256,5841.49609375,96.2369008635015,89,7,0,39.96651026900809,1476,https://web.archive.org/web/20120101000000/http://www.counterspill.org
2,0.0,0.0,0.0,0,0,3,191.9677734375,91.0049599389546,17,3,0,10.039112753721753,579,https://web.archive.org/web/20120101000000/http://www.awardshowsubmissions.com/UMD_spent.html
3,0.0,0.0,0.0,0,0,0,150.3564453125,86.22544084694573,31,2,0,14.779763186204443,386,https://web.archive.org/web/20120101000000/http://bookburningparty.com/awardsubmission
4,126.0,0.0,18.253968253968253,0,3,24,2027.0205078125,67.60422784172235,85,11,0,40.2955469153558,1878,https://web.archive.org/web/20120101000000/http://breatheproject.org/
5,218.0,0.12844036697247707,15.59633027522936,0,10,74,433.48046875,75.75132241756856,32,3,0,27.868534044043813,1408,https://web.archive.org/web/20120101000000/http://bear71.nfb.ca
6,82.0,0.6097560975609756,14.634146341463413,0,6,162,1386.2431640625,24.249795528466453,29,2,1,0.0,276,https://web.archive.org/web/20120101000000/http://photoseed.com/
8,758.0,0.07387862796833773,1.8469656992084433,0,67,139,9839.4443359375,44.83141485199231,90,8,0,16.786002805753228,1581,https://web.archive.org/web/20120101000000/http://www.thisiscolossal.com
11,266.0,0.007518796992481203,15.413533834586465,0,117,49,488.828125,91.67911938628735,164,6,1,64.37469083707249,1147,https://web.archive.org/web/20120101000000/http://downtownseattle.com/
12,0.0,0.0,0.0,0,0,0,458.4150390625,95.38257029464208,17,13,0,66.22871623876163,1830,https://web.archive.org/web/20120101000000/http://www.allartisadvertising.com/
13,159.0,0.0880503144654088,8.176100628930817,0,27,102,770.39453125,87.58144416669624,52,14,0,44.68025659720956,1764,https://web.archive.org/web/20120101000000/http://www.asla.org
14,70.0,0.21428571428571427,38.57142857142858,0,0,24,540.0595703125,95.72312805481167,26,14,0,59.011035839272765,2347,https://web.archive.org/web/20120101000000/http://freightrailworks.org/
15,17.0,0.35294117647058826,5.88235294117647,0,1,1,734.453125,96.92745452611425,23,9,0,54.29233293208913,544,https://web.archive.org/web/20120101000000/http://www.firstcarstory.com/
17,241.0,0.22821576763485477,3.319502074688797,0,18,62,368.34375,85.04708577246119,41,3,0,13.106124365911963,832,https://web.archive.org/web/20120101000000/https://www.manilla.com
18,211.0,0.17061611374407584,3.3175355450236967,1,7,27,526.396484375,94.13242305623064,34,2,1,19.687839536020324,412,https://web.archive.org/web/20120101000000/http://www.simplee.com
19,285.0,0.12631578947368421,3.1578947368421053,0,11,26,798.205078125,94.8008348809952,48,3,0,19.05537742138674,1083,https://web.archive.org/web/20120101000000/http://www.wepay.com
20,181.0,0.4088397790055249,4.41988950276243,0,5,48,433.8583984375,92.7830085690941,33,4,0,68.58629612391178,827,https://web.archive.org/web/20120101000000/http://www.xero.com
21,377.0,0.2625994694960212,2.9177718832891246,0,14,30,697.34375,95.89569796101277,58,8,0,18.2679928049462,900,https://web.archive.org/web/20120101000000/http://www.doxo.com
25,0.0,0.0,0.0,0,1,0,459.71875,95.29688668343417,31,2,0,11.556941458204802,223,https://web.archive.org/web/20120101000000/http://www.rihannareblfleur.com/
26,0.0,0.0,0.0,0,0,0,80.158203125,79.89205916035185,10,5,0,29.227906646983143,966,https://web.archive.org/web/20120101000000/http://www.grupowprojects.com/rexona/men/nextsuperhero/en
27,1432.0,0.2674581005586592,7.472067039106145,1,82,501,1522.642578125,61.59861620101771,184,8,0,34.478429359726995,1650,https://web.archive.org/web/20120101000000/http://www.huffingtonpost.com/business/
30,2352.0,0.08630952380952381,6.079931972789115,3,44,281,1172.791015625,88.19764217636548,133,7,1,41.883873217078396,1567,https://web.archive.org/web/20120101000000/http://techcrunch.com/
31,714.0,0.15826330532212884,5.322128851540616,0,13,131,800.8564453125,94.32845940076359,42,5,0,30.294995064738465,1620,https://web.archive.org/web/20120101000000/http://the99percent.com
32,678.0,0.17699115044247787,6.489675516224189,0,60,271,1727.07421875,96.67151816995415,118,2,0,18.723713048821157,339,https://web.archive.org/web/20120101000000/http://www.knowyourmeme.com
33,61.0,0.3442622950819672,37.704918032786885,0,84,40,439.37109375,89.15886521039484,57,3,0,0.8783827898542278,784,https://web.archive.org/web/20120101000000/http://www.theinspiration.com/
34,418.0,0.0,10.526315789473683,0,23,31,1503.0595703125,95.644820817954,37,8,0,17.918012876345358,1362,https://web.archive.org/web/20120101000000/http://dearphotograph.com
35,20.0,0.2,80.0,0,2,12,620.0283203125,95.11252793707445,34,8,0,22.268469351711232,1041,https://web.archive.org/web/20120101000000/http://TheStarklife.com
36,3171.0,0.04068117313150426,6.654052349416588,1,60,305,1429.83203125,94.57329450301472,165,5,1,27.543761222528477,1915,https://web.archive.org/web/20120101000000/http://www.nytimes.com/fivethirtyeight
37,2464.0,0.06534090909090909,2.8814935064935066,0,197,407,5034.603515625,98.11773363794396,93,10,1,31.565933693974596,1964,https://web.archive.org/web/20120101000000/http://www.npr.org/blogs/itsallpolitics/
38,2155.0,0.05986078886310905,16.5661252900232,1,44,337,1550.7890625,74.71927093566279,131,7,0,33.49253269644979,1799,https://web.archive.org/web/20120101000000/http://www.newyorker.com/online/blogs/closeread/
40,282.0,0.31560283687943264,23.75886524822695,0,84,258,1209.6455078125,87.56899498416456,141,9,0,26.272124062127148,1014,https://web.archive.org/web/20120101000000/http://www.impatientoptimists.org
41,1164.0,0.1640893470790378,4.982817869415808,0,31,272,1234.921875,96.39226292149048,102,3,0,17.606689491366836,528,https://web.archive.org/web/20120101000000/http://www.teamcoco.com
42,569.0,0.0351493848857645,4.393673110720562,0,101,193,2306.857421875,95.94872962829065,178,14,0,80.11728928691629,1619,https://web.archive.org/web/20120101000000/http://www.vh1.com/shows/pop_up_video/create.jhtml
43,432.0,0.2986111111111111,24.305555555555554,0,23,130,441.2236328125,78.09381314836006,56,12,0,87.51589515334871,2119,https://web.archive.org/web/20120101000000/http://omg.yahoo.com/
44,44.0,0.0,0.0,0,0,1,57.052734375,73.85402759234535,15,1,0,13.446276122165202,154,https://web.archive.org/web/20120101000000/http://www.pineridgesioux.com
45,411.0,0.19464720194647203,26.277372262773724,1,7,68,1063.0859375,90.95149733602793,32,17,0,59.12617528449572,2242,https://web.archive.org/web/20120101000000/http://www.amnestyusa.org/
46,0.0,0.0,0.0,0,0,0,738.7099609375,97.38617390166293,17,3,0,8.5278601507966,689,https://web.archive.org/web/20120101000000/http://toadworkscreative.com/JL/awards/messageforjapan/
47,27.0,0.18518518518518517,18.51851851851852,0,2,1,342.349609375,94.37309950194827,16,5,0,12.996396022008746,1516,https://web.archive.org/web/20120101000000/http://bethedirector.girlscouts.org
48,407.0,0.21375921375921375,4.176904176904177,0,15,107,268.484375,81.87161729616481,62,2,0,26.259912372106317,511,https://web.archive.org/web/20120101000000/http://www.sesameworkshop.org
49,97.0,0.020618556701030927,3.0927835051546393,0,5,27,254.7763671875,60.215568954084276,42,1,0,32.75868416680528,1030,https://web.archive.org/web/20120101000000/http://www.ihadcancer.com
50,22.0,1.2272727272727273,31.818181818181817,0,21,80,4179.6845703125,93.72193485182349,73,11,0,26.735430070067295,1124,https://web.archive.org/web/20120101000000/http://Tumblr.com
51,383.0,0.2193211488250653,3.3942558746736298,0,10,55,443.8046875,61.77451722498988,35,4,0,16.572596072325517,1026,https://web.archive.org/web/20120101000000/http://www.flickr.com/
52,276.0,0.050724637681159424,9.420289855072465,0,0,332,1393.443359375,94.28251451061963,80,11,0,25.38206950788922,1774,https://web.archive.org/web/20120101000000/http://behance.net
54,286.0,0.4755244755244755,37.41258741258741,0,89,156,795.416015625,92.959536209678,63,9,0,24.13532185231796,1526,https://web.archive.org/web/20120101000000/http://www.urbanears.com/
55,5.0,0.0,100.0,0,0,5,1308.6845703125,94.80073397891042,87,2,0,1.744836122865938,431,https://web.archive.org/web/20120101000000/http://beoplay.com/
56,17.0,2.0,5.88235294117647,0,10,51,2129.7080078125,97.76643750220674,54,2,0,47.53706891497237,684,https://web.archive.org/web/20120101000000/http://artoftouch.com
57,121.0,0.09917355371900827,0.0,0,3,3,57.8359375,57.30784816966095,21,4,0,20.90428180743269,823,https://web.archive.org/web/20120101000000/http://www.awardshowsubmit.com/intel/ultrabookproject
58,19.0,0.0,0.0,0,2,2,147.5732421875,88.27383118816795,15,1,0,7.749790395020022,1,https://web.archive.org/web/20120101000000/http://music.google.com/about/tour/
59,283.0,0.07420494699646643,0.35335689045936397,0,14,21,347.6513671875,90.23609882161266,27,4,0,12.570026125671088,1058,https://web.archive.org/web/20120101000000/http://rallyinteractive.com/
60,3323.0,0.043033403551008126,0.21065302437556424,0,115,40,3865.9111328125,91.320569693078,97,3,0,8.966096943986104,598,https://web.archive.org/web/20120101000000/http://goodideas.statoil.com/deep-dive-en
62,162.0,0.018518518518518517,0.0,0,2,1,141.958984375,89.50235956138299,15,1,0,19.151170555042043,582,https://web.archive.org/web/20120101000000/http://awards.amalgamatednyc.com/fairtweets/
63,155.0,0.03225806451612903,1.2903225806451613,0,1,106,1436.0205078125,96.24776859335525,71,8,0,115.63761565902624,868,https://web.archive.org/web/20120101000000/http://abcfamily.go.com/site/brightstudents
64,299.0,0.020066889632107024,1.3377926421404682,0,8,0,362.0576171875,93.74317256781579,17,3,0,7.683343747677069,201,https://web.archive.org/web/20120101000000/http://www.creativeawardshowcase.com/green-server/
65,150.0,0.12666666666666668,20.666666666666668,0,4,47,1166.0556640625,96.11060256724853,43,10,0,95.12200090435975,1748,https://web.archive.org/web/20120101000000/http://www.connectamillionminds.com/
66,205.0,0.04390243902439024,11.707317073170733,0,38,79,323.6064453125,93.39294390309409,35,18,0,55.05120811813201,1220,https://web.archive.org/web/20120101000000/http://www.Disney.com/ProjectGreen
67,223.0,0.07623318385650224,8.520179372197308,0,13,29,820.5751953125,95.95284367268101,40,5,0,13.185743922647744,1492,https://web.archive.org/web/20120101000000/http://rememberme.ushmm.org/
68,45.0,0.13333333333333333,6.666666666666667,0,13,90,403.5302734375,67.15874302723763,33,4,0,73.77467580927882,1061,https://web.archive.org/web/20120101000000/http://www.mfa.org
69,311.0,0.10932475884244373,1.607717041800643,0,46,84,2633.6201171875,98.2011081912188,57,13,0,39.72564034912508,1775,https://web.archive.org/web/20120101000000/http://www.bmwguggenheimlab.org/
70,147.0,0.1564625850340136,2.7210884353741496,1,6,44,592.1552734375,89.17767622578405,50,15,0,40.94508669221552,2066,https://web.archive.org/web/20120101000000/http://www.musee-rodin.fr/
71,13122.0,0.009602194787379973,3.6427373875933546,0,142,3396,656.85546875,31.24052213731379,29,10,0,32.44503814076826,1999,https://web.archive.org/web/20120101000000/http://www.khanacademy.org
72,375.0,0.056,10.133333333333333,0,5,67,1097.2236328125,94.64014731784859,54,11,3,51.25335141456257,1925,https://web.archive.org/web/20120101000000/http://www.ted.com
73,554.0,0.061371841155234655,0.18050541516245489,0,33,121,165.44140625,84.40252166316435,45,2,0,23.452360701683418,377,https://web.archive.org/web/20120101000000/http://www.commonsensemedia.org
75,63.0,0.12698412698412698,4.761904761904762,0,3,11,569.583984375,95.75176509719607,24,4,0,20.76545314184812,1105,https://web.archive.org/web/20120101000000/http://www.google.com/sciencefair
76,403.0,0.141439205955335,2.2332506203473943,1,38,77,1196.18359375,92.27303305107715,74,9,0,47.65090974099199,1932,https://web.archive.org/web/20120101000000/http://www.glassdoor.com
77,638.0,0.0438871473354232,7.6802507836990594,0,84,213,1445.2744140625,88.48408843206003,60,8,1,88.98702918103534,1741,https://web.archive.org/web/20120101000000/http://www.freelancer.com
78,229.0,0.10480349344978165,1.3100436681222707,0,0,75,999.2275390625,96.2953805136585,66,8,0,33.71195678936183,1096,https://web.archive.org/web/20120101000000/http://vitamintalent.com/
79,250.0,0.136,7.199999999999999,0,8,12,247.3955078125,93.12841201106843,32,1,0,21.047056289897256,886,https://web.archive.org/web/20120101000000/http://www.jibe.com
80,237.0,0.34177215189873417,16.455696202531644,1,22,139,973.5927734375,93.47455612517666,78,3,0,15.745994505139326,1127,https://web.archive.org/web/20120101000000/http://www.tribecafilm.com
81,592.0,0.1875,31.25,0,59,102,1296.470703125,83.30262596924041,79,5,0,25.183343885662662,1342,https://web.archive.org/web/20120101000000/http://www.sundancechannel.com/festival
82,0.0,0.0,0.0,0,0,0,348.41015625,95.87131277118159,27,8,0,5.371477520149909,1784,https://web.archive.org/web/20120101000000/http://ten.propaganda3.com
83,491.0,0.0835030549898167,7.535641547861507,0,16,4,1115.748046875,97.60057976798777,22,10,0,22.000860969662597,1681,https://web.archive.org/web/20120101000000/http://partytodiefor.com
84,676.0,0.23372781065088757,32.10059171597633,0,13,92,4589.654296875,98.69801008807597,96,12,0,46.28089810771027,1982,https://web.archive.org/web/20120101000000/http://www.focusforwardfilms.com/
85,2032.0,0.03297244094488189,2.952755905511811,1,35,371,1354.869140625,89.92450550892109,108,9,0,31.32516623432301,1721,https://web.archive.org/web/20120101000000/http://www.babycenter.com
87,552.0,0.2463768115942029,2.1739130434782608,1,35,115,862.654296875,91.78158798584492,79,2,1,22.631731905892455,365,https://web.archive.org/web/20120101000000/http://www.momtastic.com/
88,277.0,0.1263537906137184,9.025270758122744,0,8,55,1925.64453125,91.13806253993691,72,12,0,86.89318691836006,2052,https://web.archive.org/web/20120101000000/http://www.sesamestreet.org/parents
89,437.0,0.23569794050343248,24.71395881006865,0,18,182,888.7998046875,91.55440260797621,102,7,0,31.188388637881705,1140,https://web.archive.org/web/20120101000000/http://builtbykids.com
90,262.0,0.3473282442748092,15.648854961832063,1,4,41,1377.0517578125,96.83887891718395,37,5,1,18.027181930180014,1294,https://web.archive.org/web/20120101000000/http://showstudio.com
91,714.0,0.046218487394957986,12.885154061624648,0,74,399,2984.02734375,95.64337337726515,114,11,0,60.85345799323709,1883,https://web.archive.org/web/20120101000000/http://www.vogue.com
92,774.0,0.05426356589147287,7.881136950904392,0,39,129,965.8173828125,94.41848660814946,55,3,0,6.904972909929801,379,https://web.archive.org/web/20120101000000/http://nowness.com/
94,313.0,0.022364217252396165,6.070287539936102,0,3,63,686.8310546875,89.98770110121355,26,11,0,31.359219324808304,1682,https://web.archive.org/web/20120101000000/http://www.mint.com
95,766.0,0.09007832898172324,2.610966057441253,0,215,336,605.2587890625,90.09624305202611,68,4,0,11.091130278260595,1011,https://web.archive.org/web/20120101000000/http://www.expatexplorer.hsbc.com
96,1017.0,0.13569321533923304,10.816125860373647,1,140,464,1612.3486328125,84.57370937799999,115,12,0,53.84971693205924,1854,https://web.archive.org/web/20120101000000/http://money.cnn.com/
97,127.0,0.11023622047244094,6.299212598425196,0,17,37,893.4140625,90.148394938657,53,9,0,39.57995210438775,1795,https://web.archive.org/web/20120101000000/http://www.wonga.com
98,182.0,0.03296703296703297,14.835164835164836,0,5,13,457.677734375,90.6988405289953,28,6,0,21.84049746261786,1243,https://web.archive.org/web/20120101000000/http://www.wikinvest.com
99,395.0,0.020253164556962026,2.0253164556962027,0,36,91,480.400390625,95.81342873986137,33,2,0,19.88164111970095,522,https://web.archive.org/web/20120101000000/http://www.foodily.com
100,51.0,0.3137254901960784,37.254901960784316,0,1,22,1243.1259765625,97.35702822003188,32,11,0,20.492339570233447,1637,https://web.archive.org/web/20120101000000/http://doritos-the-end.sn77.net/
101,1207.0,0.4125932062966031,12.261806130903064,1,42,198,1557.6650390625,96.00545187013064,108,14,1,57.88430831025279,2315,https://web.archive.org/web/20120101000000/http://www.nytimes.com/dining
102,894.0,0.3724832214765101,6.7114093959731544,0,68,94,5872.0947265625,95.57733420366621,94,6,0,26.296201476621597,381,https://web.archive.org/web/20120101000000/http://www.activatedrinks.com
103,355.0,0.09295774647887324,28.732394366197184,0,14,45,1246.6279296875,97.69949715913319,18,7,0,33.63222232985608,1220,https://web.archive.org/web/20120101000000/http://www.fivethirtybrew.com
104,426.0,0.0,0.2347417840375587,0,5,0,55.654296875,59.55255307948763,44,2,0,25.09150477164918,891,https://web.archive.org/web/20120101000000/http://award.aid-dcc.com/androp_bell/en/
105,202.0,0.04455445544554455,11.881188118811881,0,37,78,370.931640625,91.8790840209144,38,18,0,55.07364033153388,1220,https://web.archive.org/web/20120101000000/http://www.Disney.com/Games
106,14.0,0.0,14.285714285714285,0,2,6,423.5810546875,95.29956403156679,32,5,0,51.20740012325744,628,https://web.archive.org/web/20120101000000/http://fungoplay.com
