slno,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,url
1,964.0,0.03112033195020747,3.8381742738589213,0,25,19,24558.1875,99.47816458233125,19,9,0,16.22082965786528,1087,https://web.archive.org/web/20170101000000/http://interactive.unwomen.org/multimedia/timeline/womensfootprintinhistory/en/index.html
2,4178.0,0.4822881761608425,1.7711823839157492,0,240,299,6054.4169921875,98.79126857764452,37,10,0,9.096499951156131,2313,https://web.archive.org/web/20170101000000/http://shoutyourabortion.com/
4,45.0,0.022222222222222223,13.333333333333334,0,26,8,1868.8779296875,59.38823167937396,28,4,0,9.630746743464043,1233,https://web.archive.org/web/20170101000000/http://www.sbs.com.au/lingo
5,93.0,0.21505376344086022,2.1505376344086025,0,6,50,11095.5302734375,99.66971849499856,30,3,0,8.412170012154395,580,https://web.archive.org/web/20170101000000/http://www.10thousanddesign.com
6,5.0,2.0,20.0,0,0,0,1170.0205078125,93.09632493420838,64,2,0,0.010753946156691936,235,https://web.archive.org/web/20170101000000/http://www.stylenovels.com/en/
7,80.0,0.025,0.0,0,2,1,3149.6318359375,97.98556564925899,34,1,0,28.84776149136837,680,https://web.archive.org/web/20170101000000/http://futureoftransit.designit.com/
8,1616.0,0.01485148514851485,0.24752475247524752,0,34,23,5406.05078125,98.52812495258135,46,18,0,34.20075966678386,1560,https://web.archive.org/web/20170101000000/http://interaktiv.morgenpost.de/berlins-neue-skyline/
9,235.0,0.02553191489361702,11.48936170212766,1,25,21,381.5546875,82.62095866008723,46,3,0,4.944381006775258,269,https://web.archive.org/web/20170101000000/http://oakwood.se/work/garsnas/
10,313.0,0.5079872204472844,4.792332268370607,0,15,60,4337.2705078125,92.68184443296148,30,15,0,67.46127642477765,1728,https://web.archive.org/web/20170101000000/https://www.vera.org/
11,310.0,0.267741935483871,2.5806451612903225,0,1,6,2813.875,96.0633829016925,33,10,0,65.76212351212679,1765,https://web.archive.org/web/20170101000000/http://www.areweinyourstate.org/
12,246.0,0.24796747967479674,21.951219512195124,0,11,43,17726.9365234375,15.990176055672691,46,9,0,27.718724704714806,1344,https://web.archive.org/web/20170101000000/http://www.associationforpublicart.org/
13,234.0,0.09829059829059829,73.93162393162393,2,1,141,2963.53125,97.32035525608174,41,18,0,48.54554047727714,1638,https://web.archive.org/web/20170101000000/https://www.acsep.org.au/
14,118.0,0.03389830508474576,4.23728813559322,0,0,133,1580.384765625,88.32062257386391,64,7,0,34.53216831358795,1216,https://web.archive.org/web/20170101000000/http://behance.net
15,256.0,0.14453125,0.78125,0,5,31,8505.8603515625,95.74764687168233,72,10,0,29.04044776598894,1473,https://web.archive.org/web/20170101000000/http://tumblr.com
16,625.0,0.0352,1.76,0,63,128,1537.283203125,96.44335011669583,110,2,0,19.32578202658087,361,https://web.archive.org/web/20170101000000/http://www.ihadcancer.com
17,185.0,0.5837837837837838,23.243243243243246,0,28,291,2621.578125,86.75248538273107,192,14,0,34.57080379186007,1933,https://web.archive.org/web/20170101000000/http://yourshot.nationalgeographic.com/
19,987.0,0.43566362715298884,11.347517730496454,0,23,204,1035.2158203125,90.09443796158901,101,13,0,42.91607607405724,1620,https://web.archive.org/web/20170101000000/https://www.cnet.com/
20,23.0,8.782608695652174,39.130434782608695,0,1,32,1344.2822265625,84.97499173655783,66,2,0,3.9007174539538436,466,https://web.archive.org/web/20170101000000/https://www.wired.com/category/photo/
21,934.0,0.32012847965738755,12.84796573875803,0,76,131,1019.7998046875,89.10708386200953,126,5,0,33.772980599201766,1126,https://web.archive.org/web/20170101000000/http://www.techradar.com/
22,327.0,0.4954128440366973,31.19266055045872,0,0,135,2493.5751953125,81.41571640555945,136,7,0,21.020481638758163,1701,https://web.archive.org/web/20170101000000/http://www.digitaltrends.com
23,763.0,0.4416775884665793,3.4076015727391877,0,1,185,1254.1337890625,55.76410199706751,114,6,1,32.31228981269142,998,https://web.archive.org/web/20170101000000/http://www.pocket-lint.com
24,31.0,0.03225806451612903,70.96774193548387,0,3,7,603.8994140625,78.91777558930971,17,1,0,11.295040076925718,54,https://web.archive.org/web/20170101000000/http://annualreport.airbusgroup.com/
25,811.0,0.18372379778051787,0.36991368680641185,0,21,38,464.7451171875,14.26184967818802,45,3,0,4.6171258402028155,198,https://web.archive.org/web/20170101000000/http://www.basicagency.com/yir/
26,20.0,0.55,5.0,0,0,2,998.8291015625,81.30389000401837,41,3,0,50.22476621648576,612,https://web.archive.org/web/20170101000000/http://mynewscorpbenefits.com/
30,2141.0,0.03503035964502569,1.9617001401214387,0,66,56,211.537109375,89.3732630393234,198,2,0,19.185175612922507,464,https://web.archive.org/web/20170101000000/http://bonipin.com/theswimmingsushi/
31,554.0,0.20216606498194944,3.2490974729241873,0,53,30,7137.474609375,98.80665348251294,86,8,0,68.75296855698839,1032,https://web.archive.org/web/20170101000000/http://later-haters.att.com/
32,43.0,0.046511627906976744,6.976744186046512,0,2,1,49.8310546875,66.51968565661316,16,2,0,14.335212898682157,221,https://web.archive.org/web/20170101000000/http://timemachine.tate.org.uk
33,291.0,0.4020618556701031,68.04123711340206,0,34,78,3974.7939453125,87.93903673760605,64,8,0,7.361232267577228,566,https://web.archive.org/web/20170101000000/http://www.australianballet.com.au
34,70.0,0.07142857142857142,2.857142857142857,0,6,34,1190.638671875,81.40876007001232,76,6,0,16.30469158650942,2294,https://web.archive.org/web/20170101000000/http://www.rangihouaheritage.co.nz/full-tour
35,390.0,0.11282051282051282,34.1025641025641,0,10,17,2363.6298828125,97.4657457556881,48,10,0,31.099248414027418,1315,https://web.archive.org/web/20170101000000/http://workingnotworking.com
36,314.0,0.09235668789808917,23.56687898089172,0,12,19,1963.9052734375,91.03801567249566,33,5,0,9.75777044676269,917,https://web.archive.org/web/20170101000000/https://careers.bbcworldwide.com/
38,122.0,0.45901639344262296,17.21311475409836,0,0,15,631.12109375,88.6417090123602,47,5,0,37.37859295683256,1000,https://web.archive.org/web/20170101000000/https://gojobhero.com
39,62.0,0.06451612903225806,12.903225806451612,0,4,7,621.908203125,89.08459661387425,31,11,0,16.93599289084578,1358,https://web.archive.org/web/20170101000000/https://jobs.gapinc.com
40,40.0,11.65,25.0,0,168,469,4427.533203125,98.39763341695719,95,3,0,21.268289523049816,313,https://web.archive.org/web/20170101000000/http://www.macys.com/parade
41,116.0,0.034482758620689655,98.27586206896551,32,46,120,6535.923828125,96.56588452103503,230,7,32,17.05438636856825,1757,https://web.archive.org/web/20170101000000/http://www.consciouscityguide.com/
42,45.0,0.17777777777777778,4.444444444444445,0,2,9,267.6533203125,68.61757827179953,22,1,0,21.783596131653383,498,https://web.archive.org/web/20170101000000/http://www.madebyfew.com
43,317.0,1.5962145110410095,31.230283911671926,0,102,432,33520.12890625,97.02728176504952,104,5,0,110.40979454886995,1579,https://web.archive.org/web/20170101000000/http://www.madeinamericafest.com/16/
44,173.0,0.1329479768786127,27.74566473988439,0,14,82,893.142578125,87.66491212340554,35,3,0,17.340355081820196,692,https://web.archive.org/web/20170101000000/http://www.nffty.org
45,255.0,0.2235294117647059,9.803921568627452,0,21,93,1246.7333984375,92.06136348504491,150,5,0,15.69486461226152,920,https://web.archive.org/web/20170101000000/http://i-d.vice.com
46,168.0,0.27380952380952384,68.45238095238095,0,37,328,2089.0625,96.44680254300673,93,8,0,74.95445574321997,1304,https://web.archive.org/web/20170101000000/https://www.mrporter.com/
47,26.0,1.0,88.46153846153845,0,0,4,425.5,46.90139358108108,22,2,0,19.27318108257857,459,https://web.archive.org/web/20170101000000/http://www.dieseljoggjeans.com/
48,461.0,0.3470715835140998,37.960954446854664,0,1,98,1533.5986328125,90.29798045727058,63,4,1,30.0083153196287,347,https://web.archive.org/web/20170101000000/http://www.allure.com/
49,278.0,0.32014388489208634,43.16546762589928,0,20,124,3114.3125,93.11736764735394,110,11,0,27.57235928511584,1389,https://web.archive.org/web/20170101000000/http://www.stylecaster.com
50,22.0,0.0,4.545454545454546,0,4,3,479.232421875,87.48527715625981,18,3,0,28.38589803707399,596,https://web.archive.org/web/20170101000000/https://quickdraw.withgoogle.com/
51,656.0,0.38871951219512196,8.384146341463415,0,38,127,2180.3515625,84.90836125194834,106,9,0,30.952390850667886,1871,https://web.archive.org/web/20170101000000/http://www.gamespot.com/
52,60.0,0.18333333333333332,23.333333333333332,0,80,0,3942.7841796875,68.82130652539462,23,2,0,19.50586147039874,543,https://web.archive.org/web/20170101000000/http://retrominder.tv/
54,48.0,0.125,0.0,0,9,6,597.107421875,92.76868627726769,38,4,0,23.02358960762033,934,https://web.archive.org/web/20170101000000/http://www.higherlowergame.com
55,60.0,0.18333333333333332,23.333333333333332,0,80,0,3942.1689453125,68.82273276652857,23,2,0,19.578882513154433,543,https://web.archive.org/web/20170101000000/http://retrominder.tv/
57,48.0,0.125,0.0,0,9,6,596.998046875,92.7714509116249,38,4,0,23.02358960762033,934,https://web.archive.org/web/20170101000000/http://www.higherlowergame.com
58,293.0,0.051194539249146756,95.56313993174061,2,0,46,8234.0361328125,98.64157123164343,71,14,1,36.68439251395239,1429,https://web.archive.org/web/20170101000000/https://datausa.io/
59,214.0,0.037383177570093455,13.551401869158877,0,1,79,6731.693359375,88.6826598874784,42,14,0,41.32589866741638,1835,https://web.archive.org/web/20170101000000/http://www.nasa.gov
60,170.0,0.5647058823529412,16.470588235294116,0,28,164,3408.55078125,97.50134370247619,26,7,0,59.16460812730611,1164,https://web.archive.org/web/20170101000000/https://www.immigration.govt.nz/new-zealand-visas
61,126.0,0.20634920634920634,8.73015873015873,0,0,65,2753.05078125,89.71439354920182,38,6,0,39.474038853283446,1377,https://web.archive.org/web/20170101000000/http://www.noaa.gov
62,319.0,0.13166144200626959,2.507836990595611,0,48,144,778.13671875,90.22266230930256,36,5,0,17.382310299181835,1035,https://web.archive.org/web/20170101000000/http://www.parliament.nz
64,858.0,0.7354312354312355,34.032634032634036,0,25,171,1850.12109375,94.80708610711714,118,9,0,22.216929992822422,1322,https://web.archive.org/web/20170101000000/http://www.wellandgood.com/
65,460.0,0.05,3.6956521739130435,0,8,65,1263.767578125,97.31071371719916,42,5,0,73.99414971414083,803,https://web.archive.org/web/20170101000000/http://www.iodine.com
66,317.0,0.13564668769716087,2.8391167192429023,0,18,123,1946.6748046875,92.75758191427188,46,5,0,22.5397804162205,763,https://web.archive.org/web/20170101000000/https://amino.com/
67,295.0,0.29491525423728815,24.74576271186441,0,14,100,4755.15234375,96.95837738505683,83,8,0,33.49713644624263,1764,https://web.archive.org/web/20170101000000/https://www.statnews.com/
68,603.0,0.3946932006633499,12.437810945273633,0,5,142,1850.0869140625,94.02113181971497,98,5,0,23.36430516422303,1265,https://web.archive.org/web/20170101000000/http://www.theonion.com
69,285.0,0.856140350877193,16.49122807017544,0,6,162,1846.8935546875,83.52258516861347,94,3,0,15.250728907423163,444,https://web.archive.org/web/20170101000000/http://www.funnyordie.com/
70,129.0,0.24806201550387597,42.63565891472868,0,1,63,2180.8232421875,91.78053729172478,46,3,0,7.935650197143537,511,https://web.archive.org/web/20170101000000/http://www.yourboyblacktrump.com
71,672.0,0.7485119047619048,4.017857142857143,0,22,273,1289.2314453125,87.11805195228202,133,11,0,41.58890454089339,1439,https://web.archive.org/web/20170101000000/http://www.cracked.com
72,158.0,0.6329113924050633,18.354430379746837,0,2,79,1014.0712890625,92.2471781350123,102,17,0,39.773897054557175,1702,https://web.archive.org/web/20170101000000/http://www.collegehumor.com
73,274.0,0.2116788321167883,5.474452554744526,1,12,40,3486.8505859375,93.38611720652507,68,9,0,23.223738681529515,1110,https://web.archive.org/web/20170101000000/http://www.immi.org
74,709.0,0.18053596614950634,14.386459802538788,0,58,229,4420.556640625,98.04537571935096,31,6,0,11.544113736401297,1477,https://web.archive.org/web/20170101000000/http://www.bicklawllp.com/
75,207.0,0.6328502415458938,9.178743961352657,5,20,35,1043.9140625,84.2095366746245,75,8,0,14.602849524244025,1223,https://web.archive.org/web/20170101000000/http://westaway.co
76,608.0,0.24177631578947367,8.05921052631579,1,62,351,14745.97265625,55.324818561423946,103,6,0,24.664484125765288,1574,https://web.archive.org/web/20170101000000/http://mtlawoffice.com
77,2610.0,0.05862068965517241,3.4482758620689653,0,169,462,1761.3779296875,82.8234508782464,94,14,0,35.76195451154899,1755,https://web.archive.org/web/20170101000000/https://www.criminallawyersandiego.com/
78,709.0,0.18053596614950634,14.386459802538788,0,58,229,4420.1767578125,98.04591471857235,31,10,0,35.44410711173652,1377,https://web.archive.org/web/20170101000000/http://www.bicklawllp.com/
79,207.0,0.6328502415458938,9.178743961352657,5,20,35,1043.517578125,84.20681252000352,75,8,0,14.602878828922103,1210,https://web.archive.org/web/20170101000000/http://westaway.co
