url,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
https://www.nowness.com/,802.0,0.24438902743142144,0.22194513715710723,0,124,49,1597.1142578125,83.34037524954982,129,5,19
http://www.onesharedhouse2030.com,32.0,0.0,0.5,0,57,0,36.7734375,49.77692797960484,0,2,0
https://www.theinformation.com,1834.0,0.1183206106870229,0.13740458015267176,0,94,142,1431.9453125,91.79158323740104,37,13,6
http://findingsanctuary.nyc/,2.0,0.0,1.0,0,0,1,108.912109375,96.47884798163656,1,4,0
http://eltonjohn.com,626.0,0.1134185303514377,0.05910543130990415,0,3,37,82.9140625,34.45891830773579,15,12,0
http://sayyes.com/,428.0,0.23598130841121495,0.37616822429906543,1,9,23,64.916015625,83.44615940066792,11,10,9
http://guernica.museoreinasofia.es/en,438.0,0.02054794520547945,0.2534246575342466,0,10,26,3127.96484375,98.04048409071893,15,7,0
http://www.palomafaith.com,176.0,0.07386363636363637,0.6477272727272727,0,7,4,586.4833984375,94.6911127799267,19,4,0
https://www.architecturaldigest.com/,248.0,1.1088709677419355,0.31048387096774194,0,5,19,286.8408203125,81.23176440548131,42,14,18
https://2017.stateofeuropeantech.com/,98.0,0.061224489795918366,0.4387755102040816,0,0,15,702.05078125,46.160940325497286,6,5,0
http://www.moma.org,250.0,0.084,0.248,0,0,31,21524.98828125,99.29087686422594,11,9,0
http://spotify.me/,80.0,0.6625,0.075,0,0,4,2515.3076171875,95.64362739864308,0,7,0
http://www.ellentube.com,415.0,0.16626506024096385,0.17349397590361446,1,4,32,1323.9638671875,87.81889434470794,10,15,6
http://disruptionmag.com/,156.0,0.10897435897435898,0.33974358974358976,0,5,14,2623.03515625,98.79589931153825,7,12,0
https://www.carnegiehall.org/,297.0,0.46464646464646464,0.1414141414141414,0,19,29,739.224609375,84.85295244436342,4,5,15
https://www.studiomunge.com/,193.0,0.3471502590673575,0.5751295336787565,0,3,22,11167.666015625,99.70756465066822,36,12,0
http://awardserver.de/2017/BMW_COM/,267.0,0.07116104868913857,0.11610486891385768,0,6,3,1159.06640625,45.36820784508006,2,10,0
http://www.whitearkitekter.com,220.0,0.11363636363636363,0.031818181818181815,0,7,24,3380.361328125,17.83694305053604,7,11,0
http://history.laumeiersculpturepark.org,495.0,0.01616161616161616,0.18181818181818182,0,6,3,889.5400390625,81.6374991903514,10,4,0
http://film-makerscoop.com,513.0,0.5399610136452242,0.4171539961013645,0,26,2,2951.818359375,98.65562209734334,1,12,0
http://www.mondriaan.nl/en,41.0,0.07317073170731707,0.3170731707317073,0,2,4,1551.962890625,94.80395919985402,3,10,0
http://www.milkable.me,138.0,0.5434782608695652,0.2463768115942029,0,49,17,8414.740234375,19.87581315989636,10,14,12
https://nmai.si.edu/americans/,2582.0,0.12470952749806352,0.029047250193648334,0,34,0,2291.130859375,66.82916204555781,267,5,0
https://carjojo.com,189.0,0.0,0.13227513227513227,1,7,24,1344.162109375,89.06163952624995,15,3,10
http://viennesemodernism2018.info,143.0,0.4405594405594406,0.8741258741258742,4,1,28,7976.3310546875,56.59150492001298,45,12,0
http://200.hc.com/,70.0,0.07142857142857142,0.34285714285714286,0,0,8,2346.6005859375,98.10351493329571,2,5,0
http://seeingtheory.io,273.0,0.10989010989010989,0.03296703296703297,0,15,5,2761.9326171875,98.56927628306012,33,6,4
https://www.mmnz.co.nz/,211.0,0.14218009478672985,0.10426540284360189,0,8,43,1250.0732421875,71.85672714489385,10,8,7
https://brandbeats.basicagency.com/,52.0,0.21153846153846154,0.7884615384615384,0,0,1,2497.755859375,6.3453443755371035,0,3,0
https://www.futurelibrary.no,2.0,0.0,0.0,1,0,0,4281.365234375,14.476366740128801,1,2,0
http://ed.ted.com,44.0,0.75,0.2727272727272727,0,1,21,25.533203125,43.97230933986078,2,5,1
http://thezebra.com,889.0,0.40382452193475815,0.21147356580427445,0,8,110,97.68359375,63.05334506338225,53,5,0
http://flintisaplace.com/,108.0,0.05555555555555555,0.37037037037037035,0,16,5,31853.6962890625,99.92265050921748,49,3,0
http://www.moma.org,250.0,0.084,0.248,0,0,31,28220.7509765625,99.466746007663,11,9,0
http://www.children.org,798.0,0.2794486215538847,0.24561403508771928,3,51,75,656.1669921875,30.49314273382794,27,17,32
http://ie.com.au/webby-award-lexus,1786.0,0.03471444568868981,0.07278835386338185,1,36,6,547.6015625,92.30682807127673,23,9,0
https://dataafrica.io/,45.0,0.37777777777777777,0.35555555555555557,0,0,23,10281.6279296875,99.53182761993837,10,10,0
https://www.globalxplorer.org/,231.0,0.07792207792207792,0.14285714285714285,0,8,33,41.0927734375,42.049478362128376,24,10,22
http://Primerstori.es,202.0,0.0,0.08415841584158416,0,0,18,1011.474609375,96.37953174028482,28,5,0
http://www.masterclass.com,2288.0,0.45323426573426573,0.4956293706293706,0,208,21,278.6767578125,65.75613687733254,181,4,2
https://hbr.org/,704.0,0.2471590909090909,0.37642045454545453,0,0,133,2923.58984375,85.80792823463234,22,11,53
http://lemonade-rage.com/game/,74.0,0.22972972972972974,0.0945945945945946,0,6,5,491.3662109375,98.98024282582642,8,3,0
http://careers.nationalgrid.com/,502.0,0.13545816733067728,0.029880478087649404,0,16,16,3189.4853515625,98.4090485307405,11,7,60
https://sharemylesson.com/,777.0,0.1583011583011583,0.3333333333333333,0,22,14,1253.642578125,94.24871273554407,27,6,0
https://investingforpeople.com,33.0,0.6666666666666666,0.12121212121212122,0,5,1,1567.8798828125,99.21233702209081,0,3,0
http://www.yuwa-india.org/,779.0,0.14377406931964057,0.03979460847240052,0,26,12,1827.421875,96.28126202385533,3,21,7
http://www.pillandpillow.com/vhk/site/,4.0,0.0,0.0,0,0,4,3480.9541015625,14.733551466027324,7,4,6
https://www.kourtneykardashian.com/,147.0,0.1564625850340136,0.2585034013605442,0,16,14,856.8955078125,93.80394114382291,14,13,0
https://medium.com/@thelilynews/the-lily-webby-award-entry-aea6c2ad64ef,225.0,0.044444444444444446,0.11555555555555555,0,4,26,80.3388671875,21.702505257272055,15,6,0
http://arts.ny.gov/,994.0,0.14688128772635814,0.18209255533199195,0,16,38,6377.82421875,98.69187853665319,74,11,0
https://www.buzzfeed.com/tools/email,742.0,0.7479784366576819,0.07412398921832884,0,4,37,722.705078125,90.56658333896358,1,8,2
https://myturbotax.intuit.com/,110.0,0.0,0.045454545454545456,0,2,11,1009.0927734375,35.558123352988595,12,4,0
http://bwc.thelab.dc.gov/,916.0,0.021834061135371178,0.14410480349344978,1,19,26,2947.17578125,98.2541217293569,4,7,2
https://www.imaginaryfriendsociety.com/,2.0,0.0,1.0,0,0,2,443.81640625,76.01635318658299,3,10,0
http://tumblr.com,324.0,0.16049382716049382,0.08641975308641975,0,8,7,6587.4130859375,96.94035040488407,28,8,11
http://interactive-salaryman.com/pieces/electioninthedark_e/,844.0,0.0,0.052132701421800945,0,10,2,207.1259765625,87.64716144028439,6,5,0
