slno,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,url
1,100.0,0.0,8.0,0,218,22,146.6552734375,82.39986682204095,122,9,0,86.77754539563182,1482,https://web.archive.org/web/20040101000000/http://www.tolerance.org
2,194.0,0.0,9.278350515463918,0,163,43,221.6484375,83.96425927884107,111,10,0,68.44670960495934,1750,https://web.archive.org/web/20040101000000/http://www.hrc.org
3,413.0,0.0387409200968523,3.87409200968523,0,133,45,311.36328125,92.42525938099838,60,9,0,48.827059843317315,1760,https://web.archive.org/web/20040101000000/http://www.aworldconnected.com
4,0.0,0.0,0.0,0,0,0,81.3212890625,78.7506154455826,10,10,0,39.80122993241379,1733,https://web.archive.org/web/20040101000000/http://www.earthisland.org
5,2599.0,0.0,5.848403232012313,0,18,396,345.9775390625,89.62603131412635,124,7,0,43.170732496633846,2372,https://web.archive.org/web/20040101000000/http://www.indybay.org/
6,20.0,0.0,25.0,1,23,10,78.369140625,76.01619937694704,26,5,0,22.037792299351068,415,https://web.archive.org/web/20040101000000/http://www.pbs.org/pov/borders/index_flash.html
7,13.0,0.0,76.92307692307693,0,46,5,167.4970703125,85.08427736026167,54,4,0,125.41017629730818,1064,https://web.archive.org/web/20040101000000/http://www.noggin.com
11,616.0,0.0,15.746753246753247,0,62,29,258.4453125,86.36377376741936,73,3,0,24.850514617482183,1032,https://web.archive.org/web/20040101000000/http://www.apple.com/itunes/store/shop.html
12,386.0,0.0051813471502590676,19.94818652849741,0,178,49,322.2021484375,91.85991180080924,196,7,0,71.98910167720804,1760,https://web.archive.org/web/20040101000000/http://www.ebay.com
13,114.0,0.07894736842105263,99.12280701754386,0,59,38,215.25,91.1204268292683,35,8,0,113.20241174935883,1421,https://web.archive.org/web/20040101000000/http://www.bigfuntoys.com
14,25.0,0.0,20.0,0,73,12,260.1640625,91.63876460166361,59,10,0,96.15459792234728,1755,https://web.archive.org/web/20040101000000/http://www.marthastewart.com
15,45.0,0.06666666666666667,31.11111111111111,0,8,1,48.984375,63.542663476874004,18,4,0,49.86571111191834,1146,https://web.archive.org/web/20040101000000/http://www.netflix.com
16,430.0,0.06976744186046512,1.3953488372093024,1,35,234,68.693359375,70.1415939268147,15,10,1,49.684526341323384,1916,https://web.archive.org/web/20040101000000/http://www.wikipedia.org
17,379.0,0.026385224274406333,7.9155672823219,2,30,46,103.63671875,70.25366552335004,18,4,0,41.894965314385765,1694,https://web.archive.org/web/20040101000000/http://www.livejournal.com/
18,54.0,0.0,5.555555555555555,0,31,23,202.3701171875,90.77726358051798,32,9,0,38.03289070809418,2200,https://web.archive.org/web/20040101000000/http://www.fictionalley.org/
19,86.0,0.0,18.6046511627907,0,42,11,92.126953125,83.5962178549471,19,3,0,24.473069989605516,1512,https://web.archive.org/web/20040101000000/http://www.friendster.com
20,444.0,0.1373873873873874,28.603603603603606,0,75,118,229.9755859375,85.22686256608421,31,6,0,29.108612693888638,782,https://web.archive.org/web/20040101000000/http://www.suicidegirls.com
21,171.0,0.0,12.280701754385964,0,102,73,154.1806640625,79.36673823956018,87,12,0,36.93031026311204,1489,https://web.archive.org/web/20040101000000/http://www.bbc.co.uk/science/humanbody
22,417.0,0.0,3.117505995203837,0,67,26,245.7275390625,90.18658718330849,51,12,0,32.26468159207594,1824,https://web.archive.org/web/20040101000000/http://www.cbc.ca/halifaxexplosion
23,42.0,0.0,2.380952380952381,0,128,1,562.357421875,94.79138809489905,98,9,0,65.71666087032034,1106,https://web.archive.org/web/20040101000000/http://www.newseum.org
24,49.0,0.0,22.448979591836736,0,13,2,92.1611328125,75.64133809458214,23,8,0,10.994371784964024,1340,https://web.archive.org/web/20040101000000/http://www.ciconline.org/bdp1/
26,407.0,0.0,7.862407862407863,0,101,11,296.505859375,88.5446377403482,92,12,0,44.08512700886588,1858,https://web.archive.org/web/20040101000000/http://www.style.com
28,0.0,0.0,0.0,0,51,0,196.6708984375,89.87243719927902,63,3,0,17.16413512562219,1043,https://web.archive.org/web/20040101000000/http://www.isseymiyake.com/
