slno,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,url
2,17.0,0.0,0.0,0,3,1,113.802734375,85.89853604956494,21,2,0,13.82546451927529,473,https://web.archive.org/web/20080101000000/http://www.nga.gov/exhibitions/2007/hopper/introduction/index.shtm
3,0.0,0.0,0.0,0,19,0,170.51953125,90.394130987561,22,14,0,20.56367793190618,778,https://web.archive.org/web/20080101000000/http://tech2.npm.gov.tw/mifu/
4,54.0,0.0,11.11111111111111,0,56,166,1905.56640625,98.7508327781479,16,16,0,40.41523263377737,2212,https://web.archive.org/web/20080101000000/http://www.oddwall.com
6,21.0,0.0,9.523809523809524,0,12,3,160.3857421875,91.00922458672025,23,7,0,38.37469652371185,1058,https://web.archive.org/web/20080101000000/http://www.favoritearchitecture.org/
7,18.0,0.2222222222222222,0.0,0,16,1,49.0595703125,67.55777614109122,23,5,0,42.241083170164835,414,https://web.archive.org/web/20080101000000/http://210.184.138.116/awards/webby08/1_association_believeInCreativity.html
8,237.0,0.18143459915611815,13.924050632911392,0,76,22,230.3115234375,84.7467976034498,40,9,0,55.905259911097986,1253,https://web.archive.org/web/20080101000000/http://www.toyassociation.org
9,13.0,0.0,7.6923076923076925,0,0,1,47.4560546875,69.84051857186954,15,1,0,7.413310443450204,1,https://web.archive.org/web/20080101000000/http://minisites.ameribev.org
21,1562.0,0.11587708066581306,3.3930857874519846,0,43,220,331.9423828125,85.89946132641383,38,5,0,32.0496174638725,1823,https://web.archive.org/web/20080101000000/http://ftalphaville.ft.com/
22,7098.0,0.06494787264018033,6.987883910960833,6,301,366,1636.861328125,96.07910050795098,151,7,3,60.85739161476836,1523,https://web.archive.org/web/20080101000000/http://daveibsen.typepad.com
24,1759.0,0.06765207504263786,2.44457077885162,0,50,263,336.056640625,90.3641731711428,40,6,0,42.57974135024313,1885,https://web.archive.org/web/20080101000000/http://www.businessweek.com/the_thread/brandnewday/
25,1200.0,0.07916666666666666,3.25,0,27,325,161.1025390625,80.89034909589074,28,7,0,87.15094833922326,1861,https://web.archive.org/web/20080101000000/http://blog.futurelab.net
26,212.0,0.009433962264150943,0.9433962264150944,0,3,4,1191.9521484375,98.31290416931914,49,5,0,21.87634017797414,877,https://web.archive.org/web/20080101000000/http://postsecret.blogspot.com/
30,242.0,0.16942148760330578,26.446280991735538,1,8,139,377.1044921875,88.71851976537918,48,5,0,13.07614113752528,1123,https://web.archive.org/web/20080101000000/http://www.indexed.blogspot.com
31,1472.0,0.38790760869565216,2.921195652173913,0,78,424,893.455078125,91.05430332124456,119,5,0,26.33789301150744,1192,https://web.archive.org/web/20080101000000/http://huffingtonpost.com
33,860.0,0.05465116279069768,6.86046511627907,0,47,231,529.072265625,91.75867988260701,71,4,0,56.2799884948527,1448,https://web.archive.org/web/20080101000000/http://www.whytuesday.org
34,2912.0,0.028846153846153848,2.712912087912088,0,138,437,482.4208984375,87.84167579286597,80,10,0,47.59799909324526,1931,https://web.archive.org/web/20080101000000/http://blog.wired.com/defense
