id,urls
74,https://web.archive.org/web/20180101000000/http://award.i-studio.co.jp/2017_converse-allstar-100/pc/
80,https://web.archive.org/web/20180101000000/https://m2m.tv
97,https://web.archive.org/web/20180101000000/https://climate.nasa.gov
149,https://web.archive.org/web/20180101000000/http://www.prison-diaries.com
192,https://web.archive.org/web/20180101000000/http://www.travelandleisure.com/
205,https://web.archive.org/web/20180101000000/https://www.metmuseum.org/metkids
212,https://web.archive.org/web/20180101000000/http://www.slate.com/articles/news_and_politics/politics/2017/11/the_year_in_push_alerts_how_breaking_news_became_our_lives.html
