slno,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,url
1,29.0,0.0,41.37931034482759,0,57,77,265.6865234375,80.71182042394592,27,3,0,130.70709286384044,997,https://web.archive.org/web/20180101000000/http://www.onesharedhouse2030.com
2,384.0,0.0703125,6.510416666666667,0,2,99,2087.6748046875,95.6553039392753,49,5,1,16.04970026859349,1031,https://web.archive.org/web/20180101000000/https://www.architecturaldigest.com/
3,103.0,0.0970873786407767,2.912621359223301,0,4,78,1481.3642578125,95.06241936770436,46,4,0,60.94863030956171,1262,https://web.archive.org/web/20180101000000/http://pioneeringwomen.bwaf.org/
4,192.0,0.3489583333333333,55.729166666666664,0,3,55,7976.22265625,98.76189631977465,57,14,0,9.15356816257195,1496,https://web.archive.org/web/20180101000000/https://www.studiomunge.com/
5,144.0,0.18055555555555555,0.0,0,7,49,12687.8828125,86.24530417493561,27,8,0,11.22521600456716,762,https://web.archive.org/web/20180101000000/http://www.whitearkitekter.com
6,376.0,0.013297872340425532,3.723404255319149,0,6,11,970.892578125,93.59068753180969,30,1,0,83.79335222272857,183,https://web.archive.org/web/20180101000000/http://history.laumeiersculpturepark.org
10,176.0,0.13636363636363635,0.5681818181818182,0,0,80,5976.3291015625,96.89675789626425,38,5,0,48.836637563441805,1002,https://web.archive.org/web/20180101000000/http://www.moma.org
11,1172.0,0.034129692832764506,3.839590443686007,0,32,49,1079.0107421875,92.63938050894781,50,6,0,24.73282845446687,1391,https://web.archive.org/web/20180101000000/http://macaudesignbiennial.com
12,328.0,0.1951219512195122,7.01219512195122,0,52,109,22550.462890625,28.244279734765005,62,12,0,47.227235363767356,1366,https://web.archive.org/web/20180101000000/https://www.rotary.org/en
13,108.0,0.06481481481481481,21.296296296296298,0,6,12,8722.7119140625,93.22817801095538,28,6,0,15.306418595068848,1549,https://web.archive.org/web/20180101000000/http://tradeworksforus.com
14,392.0,0.11989795918367346,6.122448979591836,0,10,44,1271.76953125,94.87987333101947,29,4,0,12.264324913450979,736,https://web.archive.org/web/20180101000000/https://www.courtinnovation.org/
15,278.0,0.2949640287769784,24.46043165467626,1,18,63,2488.890625,92.58886363779042,56,8,0,23.336695998297095,1026,https://web.archive.org/web/20180101000000/https://pasowine.com/
16,623.0,0.5377207062600321,30.01605136436597,0,2,247,4998.5947265625,97.2680603005415,101,11,0,103.1829475658009,1388,https://web.archive.org/web/20180101000000/https://hbr.org/
17,387.0,0.35142118863049093,6.2015503875969,0,61,90,5082.369140625,96.34465118191603,78,9,0,30.591207659184075,1429,https://web.archive.org/web/20180101000000/https://www.theinformation.com
