slno,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,url
1,48.0,0.0,0.0,0,6,0,16.478515625,36.98589546047173,14,3,0,13.675309840159066,603,https://web.archive.org/web/20050101000000/http://www.worldcitizenguide.com/
2,82.0,0.0,23.170731707317074,0,33,3,112.8642578125,84.20565356960536,31,11,0,42.972630153384024,1591,https://web.archive.org/web/20050101000000/http://www.ifaw.org
3,375.0,0.0,26.93333333333333,0,78,24,190.779296875,86.44539768015643,54,10,0,38.993695074905816,1769,https://web.archive.org/web/20050101000000/http://www.migrationinformation.org
4,229.0,0.0,2.6200873362445414,0,57,12,519.779296875,95.23817575819064,71,15,0,36.07058585862686,1774,https://web.archive.org/web/20050101000000/http://www.voicesofcivilrights.org
5,513.0,0.0,7.4074074074074066,0,86,24,348.2626953125,89.02111765712058,72,7,0,43.43753492684995,1967,https://web.archive.org/web/20050101000000/http://www.retrovsmetro.org
6,0.0,0.0,0.0,0,47,9,497.732421875,96.76678216442538,58,5,0,57.08103867333104,507,https://web.archive.org/web/20050101000000/http://grafarc.org
7,0.0,0.0,0.0,0,2,0,96.3427734375,81.64715422431706,13,3,0,0.007134285127953604,1004,https://web.archive.org/web/20050101000000/http://www.wordcount.org
8,53.0,0.0,5.660377358490567,0,3,13,144.0908203125,85.81013764918772,34,3,0,28.82338626735201,1075,https://web.archive.org/web/20050101000000/http://www.virtualmuseum.ca/Exhibitions/Horizons/
9,291.0,0.0,0.0,0,110,27,304.955078125,89.24085898922101,154,11,0,42.796631186776615,1677,https://web.archive.org/web/20050101000000/http://www.tate.org.uk
10,164.0,0.012195121951219513,1.2195121951219512,0,63,19,102.1787109375,83.62435607038067,24,2,0,16.41804595747754,1477,https://web.archive.org/web/20050101000000/http://electricsheep.org
11,615.0,0.0,19.1869918699187,4,666,66,1082.51171875,96.20511469636226,327,6,0,39.44807478960141,1789,https://web.archive.org/web/20050101000000/http://www.nyas.org
12,61.0,0.0,1.639344262295082,0,56,52,236.1962890625,89.95720753312798,123,10,0,46.67077366346615,1202,https://web.archive.org/web/20050101000000/http://www.azbar.org
14,322.0,0.0,2.484472049689441,0,241,45,320.5458984375,86.27707249900224,175,10,0,36.36828111238969,1867,https://web.archive.org/web/20050101000000/http://www.childrenshospitals.net
15,263.0,0.0,18.250950570342205,0,136,59,139.7470703125,80.03368250396574,37,9,0,68.07531111291483,1912,https://web.archive.org/web/20050101000000/http://flash.aopa.org/asf/runwaySafety/
16,26.0,0.0,3.8461538461538463,0,2,0,103.251953125,81.25035467700746,19,2,0,13.17645923435456,184,https://web.archive.org/web/20050101000000/http://www.mbusa.com/microsite/slk/index.jsp
18,579.0,0.14680483592400692,13.81692573402418,0,20,70,184.8994140625,75.86155901910351,28,11,0,33.4804696543216,1567,https://web.archive.org/web/20050101000000/http://autos.yahoo.com
20,17.0,0.0,0.0,0,10,10,235.91015625,89.14195353766165,36,7,0,34.35585384785851,1259,https://web.archive.org/web/20050101000000/http://www.jeep.com/4x4
22,0.0,0.0,0.0,0,19,0,123.4794921875,83.86071194134907,30,3,0,119.5708048988234,630,https://web.archive.org/web/20050101000000/http://home.ingdirect.com/
23,327.0,0.06422018348623854,4.587155963302752,0,48,120,144.9423828125,77.04098476630665,46,5,0,27.859095646236515,1504,https://web.archive.org/web/20050101000000/http://www.bankofthewest.com
24,222.0,0.013513513513513514,1.8018018018018018,1,66,16,197.2568359375,87.16279438192791,108,4,2,35.30411479547523,1530,https://web.archive.org/web/20050101000000/http://www.fedex.com/us/account/fbo
25,178.0,0.0,2.247191011235955,0,94,15,243.4365234375,90.43842441601579,44,8,0,43.67577096012834,1520,https://web.archive.org/web/20050101000000/http://www.paybytouch.com
27,101.0,0.0,26.732673267326735,0,17,4,88.1640625,77.58307487815685,15,6,0,33.52159281566037,1311,https://web.archive.org/web/20050101000000/http://www.marykay.com/suzie.consultant
28,0.0,0.0,0.0,0,2,0,62.908203125,74.70427520258313,17,4,0,8.791699269103514,496,https://web.archive.org/web/20050101000000/http://www.Borba.net
29,121.0,0.0,0.8264462809917356,0,214,118,289.4345703125,90.71094300916725,143,5,0,22.039596355292815,903,https://web.archive.org/web/20050101000000/http://www.thebodyshop.com
30,0.0,0.0,0.0,0,51,0,167.7255859375,88.37968920122736,49,5,0,27.128263851113456,839,https://web.archive.org/web/20050101000000/http://www.jouercosmetics.com
31,3837.0,0.041959864477456345,2.0589001824341935,0,116,189,364.46875,89.66764554574294,49,6,0,50.58009410409977,1903,https://web.archive.org/web/20050101000000/http://www.boingboing.net
32,500.0,0.078,5.2,1,46,64,316.015625,90.82262051915946,34,8,0,41.31203101064796,1344,https://web.archive.org/web/20050101000000/http://www.hicksdesign.co.uk/journal/
33,35.0,0.4,17.142857142857142,0,2,8,81.158203125,80.81125309845258,14,11,0,29.741321548306225,897,https://web.archive.org/web/20050101000000/http://snowsuit.net
34,49.0,0.0,12.244897959183673,2,29,13,158.7548828125,89.43807092547597,32,9,0,31.649560856501992,1350,https://web.archive.org/web/20050101000000/http://www.flickr.com
35,7577.0,0.031146891909726804,10.835422990629537,0,171,644,415.1162109375,85.35284029556858,33,5,0,29.95798636296195,1938,https://web.archive.org/web/20050101000000/http://www.worldchanging.com
37,134.0,0.029850746268656716,1.4925373134328357,0,22,12,146.0703125,85.81724340803338,20,6,0,31.54691838712178,1051,https://web.archive.org/web/20050101000000/http://www.headlinehistory.co.uk
38,130.0,0.09230769230769231,10.76923076923077,0,6,36,394.505859375,64.85788689371098,31,5,0,22.688204371849043,1668,https://web.archive.org/web/20050101000000/http://www.onf.ca/capotecircus
39,45.0,0.0,17.77777777777778,0,16,2,14.689453125,24.2454460842973,15,2,0,12.876277519406317,641,https://web.archive.org/web/20050101000000/http://www.cbcradio3.com
40,297.0,0.0,13.804713804713806,0,297,78,164.6552734375,80.40828672593665,318,6,0,20.278231494038202,1563,https://web.archive.org/web/20050101000000/http://www.adcritic.com
41,303.0,0.07590759075907591,1.9801980198019802,0,38,36,258.9306640625,89.30472005883573,38,13,0,38.89797011434491,1944,https://web.archive.org/web/20050101000000/http://www.jamieoliver.com
42,62.0,0.0,4.838709677419355,0,8,6,44.5078125,8.658065648586975,13,3,0,49.5093705398377,577,https://web.archive.org/web/20050101000000/http://www.eddieizzard.com
43,173.0,0.0,21.38728323699422,0,73,23,474.5546875,94.56665788650544,96,13,0,29.606614747239316,1813,https://web.archive.org/web/20050101000000/http://www.brucewillis.com
44,32.0,0.0,243.75,0,151,7,315.384765625,87.85430742458678,90,12,0,55.05663105616557,1769,https://web.archive.org/web/20050101000000/http://www.adamsandler.com
45,68.0,0.0,1.4705882352941175,0,9,6,328.2177734375,95.24836727710915,25,17,0,40.36919652117419,1743,https://web.archive.org/web/20050101000000/http://www.muppets.com
46,34.0,0.0,2.941176470588235,0,18,0,108.7392578125,81.31011504369145,29,1,0,22.50801100925472,560,https://web.archive.org/web/20050101000000/http://www.themeatrix.com
47,197.0,0.0,38.07106598984771,0,86,34,329.0458984375,91.97905877255204,117,9,1,22.821852156740135,1649,https://web.archive.org/web/20050101000000/http://www.nrdc.org
